horse_name,horse_id,horse_name_cn
HAROLD WIN,J280,賽馬資訊
GENEVA,J114,賽馬資訊
MASTER MASTERMIND,J024,賽馬資訊
YUEN LONG ELITE,J272,賽馬資訊
HAPPY FOR ALL,H181,賽馬資訊
TAKE ACTION,J098,賽馬資訊
DAY DAY VICTORY,J423,賽馬資訊
SUPER CHARIZZARD,J184,賽馬資訊
CHAMPION METHOD,H366,賽馬資訊
FIRST LOVE,J355,賽馬資訊
EN PERFECTO,J409,賽馬資訊
GORGEOUS WIN,J008,賽馬資訊
GLORY ELITE,H311,賽馬資訊
CAPTAIN WIN,E466,賽馬資訊
NOT USUAL STAR,G396,賽馬資訊
PRINCE OF PORTY,H009,賽馬資訊
ELEGANT LIFE,J366,賽馬資訊
ENDEARED,H161,賽馬資訊
KING ECCELLENTE,G264,賽馬資訊
SILO,J399,賽馬資訊
ALPHA ONE,J435,賽馬資訊
AWESOME TREASURE,E435,賽馬資訊
POLARIS,J404,賽馬資訊
YOUNG SUPERSTAR,J400,賽馬資訊
KAHOLO ANGEL,H216,賽馬資訊
MODULECONSTRUCTION,H127,賽馬資訊
VIVA A LA,G282,賽馬資訊
JOYFUL LIFE,H426,賽馬資訊
SUPER EAGLE,G408,賽馬資訊
SPEEDY CHARIOT,H193,賽馬資訊
CHEER FOR SOUTH,H178,賽馬資訊
HAPPY FEELING,H443,賽馬資訊
DAILY TROPHY,H283,賽馬資訊
WIND SPEEDER,E281,賽馬資訊
HIGH RISE POWER,H353,賽馬資訊
SCOTCH TYCOON,G088,賽馬資訊
GLORY B,H373,賽馬資訊
COSMO NAVIGATOR,H156,賽馬資訊
SIGHT HAPPY,J261,賽馬資訊
SIXTH GENERATION,G120,賽馬資訊
JOY COMING,H149,賽馬資訊
YODA'S CHOICE,J146,賽馬資訊
LIGHTNING BOLT,G130,賽馬資訊
PACKING POWER,J284,賽馬資訊
FAIRY HORSE,J144,賽馬資訊
AURORA LADY,J066,賽馬資訊
FLYING WROTE,J290,賽馬資訊
HAPPY TRIO,G244,賽馬資訊
COLONEL,D090,賽馬資訊
RAGNARR,H297,賽馬資訊
TO INFINITY,G277,賽馬資訊
NINJA DERBY,H339,賽馬資訊
YEABOI,G372,賽馬資訊
PRECISION GOAL,H016,賽馬資訊
RUNNING AHEAD,G313,賽馬資訊
INVINCIBLE MISSILE,C037,賽馬資訊
RELIABLE PROFIT,G462,賽馬資訊
RIGHT HONOURABLE,A164,賽馬資訊
GOLDEN FAIRY,E448,賽馬資訊
KYRUS UNICORN,D267,賽馬資訊
KEEN UNITY,G298,賽馬資訊
SERGEANT PEPPER,E432,賽馬資訊
YEE CHEONG SPIRIT,H379,賽馬資訊
MA COMET,H391,賽馬資訊
CIRCUIT SEVEN,D474,賽馬資訊
MR VALIANT,G288,賽馬資訊
LESS IS MORE,H406,賽馬資訊
SWEET DIAMOND,G063,賽馬資訊
HAPPY HORSE,H061,賽馬資訊
FORTUNE WARRIOR,H229,賽馬資訊
ACE POWER,J181,賽馬資訊
SUPER SIXTY,J071,賽馬資訊
FUNG,J101,賽馬資訊
MATSU VICTOR,H472,賽馬資訊
RED MAJESTY,E028,賽馬資訊
FOREMOST TEDDY,J058,賽馬資訊
DRAGON STAR,H128,賽馬資訊
VIVA HUNTER,E369,賽馬資訊
DURHAM STAR,E082,賽馬資訊
LITTLE FAIRY,H206,賽馬資訊
ATOMIC BEAUTY,H066,賽馬資訊
KASA PAPA,G312,賽馬資訊
DOUBLE WIN,H382,賽馬資訊
D STAR,G374,賽馬資訊
SUPER BABY,G364,賽馬資訊
HELENE WARRIOR,J207,賽馬資訊
SAMARKAND,H070,賽馬資訊
I CAN,H381,賽馬資訊
SETANTA,G095,賽馬資訊
IVY LEAGUE,H116,賽馬資訊
COMET SPLENDIDO,G071,賽馬資訊
HAMERON,H265,賽馬資訊
GLORIOUS JOURNEY,J137,賽馬資訊
GALVANIC,H147,賽馬資訊
ROMANTIC LAOS,G476,賽馬資訊
LOVERO,H451,賽馬資訊
SUPER JOY N FUN,J164,賽馬資訊
REWARD SMILE,H256,賽馬資訊
LUCKY ARCHANGEL,E385,賽馬資訊
RIGHTEOUS ARION,H059,賽馬資訊
GOLDEN EMPIRE,E490,賽馬資訊
NEVER TOO SOON,E434,賽馬資訊
SUGAR SUGAR,G016,賽馬資訊
KA YING CHEER,H369,賽馬資訊
HAPPY FAT CAT,G166,賽馬資訊
ONE FOR ALL,G012,賽馬資訊
MEGA BONUS,E184,賽馬資訊
SPECIAL HEDGE,H354,賽馬資訊
SOARING BRONCO,J162,賽馬資訊
MISTER DAPPER,H376,賽馬資訊
MIDORI BURLY,J083,賽馬資訊
SMART BEAUTY,G477,賽馬資訊
SMART CITY,J213,賽馬資訊
PERFECT PAIRING,J331,賽馬資訊
GALE SAGA,J152,賽馬資訊
DRAGON DELIGHT,G395,賽馬資訊
THE KHAN,H489,賽馬資訊
TSUEN WAN GLORY,E403,賽馬資訊
SUPER JOY,G251,賽馬資訊
VULCANUS,J150,賽馬資訊
MERCHANT PRINCE,H268,賽馬資訊
THE CONCENTRATION,H465,賽馬資訊
CHATEAU LE PECHE,H471,賽馬資訊
SUPER INFINITY,J320,賽馬資訊
KING OBERON,H407,賽馬資訊
JUBILANT WINNER,J346,賽馬資訊
AFFIRM,H306,賽馬資訊
BULB EMPEROR,J241,賽馬資訊
ALWAYS FLUKE,H252,賽馬資訊
OMAKASE,H416,賽馬資訊
URBAN TRIUMPH,H200,賽馬資訊
EXUBERANT,E282,賽馬資訊
SPORTIC WARRIOR,J385,賽馬資訊
MY FLYING ANGEL,J174,賽馬資訊
CHARMANDER,G437,賽馬資訊
PERFECT PEACH,E488,賽馬資訊
ISLAND GOLDEN,H018,賽馬資訊
BEAU GOSSE,G389,賽馬資訊
MEDIC ELITE,G129,賽馬資訊
SO AWESOME,D258,賽馬資訊
GO HERO,H315,賽馬資訊
CERVIN,H253,賽馬資訊
COOL BLUE,H011,賽馬資訊
CALIFORNIA ICON,H404,賽馬資訊
CIRCUIT BLAZING,H479,賽馬資訊
SOARING TOWER,D500,賽馬資訊
TEAM HAPPY,J218,賽馬資訊
MIGHTY STRENGTH,H450,賽馬資訊
ENJOY GOLF,J222,賽馬資訊
ONLY U,J037,賽馬資訊
STRONGEST BOY,H027,賽馬資訊
AEROINVINCIBLE,J180,賽馬資訊
COMING PATCH,G222,賽馬資訊
JOLLY COMPANION,H454,賽馬資訊
HANDSOME BOMB,H402,賽馬資訊
ORIENTAL TYCOON,J112,賽馬資訊
VANTASTIC CHOICE,G401,賽馬資訊
MEANINGFUL DRAGON,H453,賽馬資訊
MR ENERGIA,J239,賽馬資訊
CRAZY TREASURE,J063,賽馬資訊
REGENT GLORY,E323,賽馬資訊
SONIC BOOM,H144,賽馬資訊
SKY SONG,J159,賽馬資訊
ROBOT KNIGHT,H464,賽馬資訊
HERO STAR,D033,賽馬資訊
SHANGHAI STYLE,J093,賽馬資訊
WRITTEN CASA,J305,賽馬資訊
AMAZING FUN,H442,賽馬資訊
FORTUNE WHISKEY,J153,賽馬資訊
STRIVE FOR GLORY,D186,賽馬資訊
DEVAS TWELVE,H435,賽馬資訊
DRAGON FOUR SEAS,J317,賽馬資訊
SATIRICAL GLORY,H073,賽馬資訊
CHATER GOLD,J004,賽馬資訊
MISSION VOICE,H444,賽馬資訊
HARMONY GALAXY,J266,賽馬資訊
MISTER FOX,J059,賽馬資訊
LUCKY IMPACT,J337,賽馬資訊
TOP PEAK,H441,賽馬資訊
MILES AWAY,J221,賽馬資訊
SUPER WIN DRAGON,E253,賽馬資訊
CAPITAL DELIGHT,H262,賽馬資訊
TALENTS AMBITION,J136,賽馬資訊
SELF IMPROVEMENT,H337,賽馬資訊
PACKING BOLE,H246,賽馬資訊
VIVA CHALEUR,G368,賽馬資訊
MAJESTIC COLOUR,H124,賽馬資訊
GOR MO TUEN,J434,賽馬資訊
MAGNIAC,H141,賽馬資訊
UNPRESUMING,H143,賽馬資訊
NATURAL HIGH,J365,賽馬資訊
I AM THE BOSS,H446,賽馬資訊
MAGIC CONTROL,J333,賽馬資訊
STELLAR EXPRESS,J186,賽馬資訊
CELESTIAL COLOURS,H362,賽馬資訊
FLYING HIGH,E204,賽馬資訊
HASTEN DELIGHT,J229,賽馬資訊
MIGHTY COMMANDER,J360,賽馬資訊
CARROLL STREET,D489,賽馬資訊
SAVVY BRILLIANT,J437,賽馬資訊
ETERNAL FORTUNE,K010,賽馬資訊
MULTISUPER,G416,賽馬資訊
ORIENTAL SMOKE,E467,賽馬資訊
PHOENIX LIGHT,G192,賽馬資訊
CAPITAL LEGEND,G333,賽馬資訊
SUMMIT CHEERS,E221,賽馬資訊
SUNLIGHT POWER,H244,賽馬資訊
FORTUNATE SON,J446,賽馬資訊
MIGHTY STEED,J384,賽馬資訊
LO PAN SPIRIT,J233,賽馬資訊
SUPER LOVE DRAGON,J038,賽馬資訊
GREENWICH,H328,賽馬資訊
THE HEIR,H459,賽馬資訊
STAR MAC,J053,賽馬資訊
SOLEIL FIGHTER,J127,賽馬資訊
FUN TOGETHER,H041,賽馬資訊
PRAY FOR MIR,J245,賽馬資訊
BEAUTY GLORY,E459,賽馬資訊
SWEET ENCOUNTER,G426,賽馬資訊
MASSIVE ACTION,E445,賽馬資訊
PERFECT GENERAL,J417,賽馬資訊
CHATEAUNEUF,J219,賽馬資訊
SHINKANSEN,H277,賽馬資訊
GIMME FIVE,J099,賽馬資訊
TELECOM POWER,J332,賽馬資訊
HAPPY DAY,G119,賽馬資訊
JUDY'S GREAT,J016,賽馬資訊
GIANT LEAP,J143,賽馬資訊
GOLDEN LUCK,H159,賽馬資訊
HAPPY SOUL,G249,賽馬資訊
WOOD ON FIRE,C460,賽馬資訊
YOUNG HORIZON,G272,賽馬資訊
UNISON,H423,賽馬資訊
SO TREASURE,H351,賽馬資訊
TOGEPI,G458,賽馬資訊
SAVVY CHIC,G261,賽馬資訊
SWEET BRIAR,H044,賽馬資訊
SMART FIGHTER,H278,賽馬資訊
TACTICAL COMMAND,H197,賽馬資訊
GALLANT VALOUR,H323,賽馬資訊
SUNNY DARLING,J171,賽馬資訊
LUCKY PLANET,H235,賽馬資訊
TRIPLE BLISS,J310,賽馬資訊
E UNIVERSE,H151,賽馬資訊
HAPPY TANGO,D075,賽馬資訊
ACE TALENT,H046,賽馬資訊
MAGIC TRAVELLER,H102,賽馬資訊
DIAMOND SOARS,G201,賽馬資訊
GORGEOUS VITALITY,G051,賽馬資訊
DOUBLE SHOW,G250,賽馬資訊
PLENTIFUL,G400,賽馬資訊
FALCON COURT,J056,賽馬資訊
GOODMANSHIP,E208,賽馬資訊
PHILOS,H371,賽馬資訊
STAR CONTACT,E472,賽馬資訊
SIMPLY MAVERICK,H346,賽馬資訊
SUPREME AGILITY,J267,賽馬資訊
BEATO,H090,賽馬資訊
PERFECT TEAM,H120,賽馬資訊
GALLANT WAKING,G165,賽馬資訊
SATIRICAL FAN,J214,賽馬資訊
SILVER KING,H420,賽馬資訊
ACROSS DA UNIVERSE,J328,賽馬資訊
FOREVER GLORIOUS,G229,賽馬資訊
STORM WINNER,J069,賽馬資訊
ME TIME,J074,賽馬資訊
FLYING SILVER,E478,賽馬資訊
WINNING STEPS,G420,賽馬資訊
HAPPY HERO,G322,賽馬資訊
NICE BIRDIE,G470,賽馬資訊
PEGASUS GENERAL,G189,賽馬資訊
SERANGOON,H296,賽馬資訊
AFFORDABLE,J242,賽馬資訊
BRAVE STAR,G268,賽馬資訊
HEALTHY HEALTHY,H203,賽馬資訊
YOUNG ARROW,J401,賽馬資訊
SOVEREIGN FUND,J402,賽馬資訊
MOJAVE DESERT,J330,賽馬資訊
EXCELLENT PEERS,G033,賽馬資訊
PARTERRE,E234,賽馬資訊
POWER KOEPP,E301,賽馬資訊
MUST GO,J133,賽馬資訊
WOODFIRE BRO,G115,賽馬資訊
FLAMINGO TRILLION,H192,賽馬資訊
RED HARE KING,H188,賽馬資訊
OUTGATE,H113,賽馬資訊
CHILL CHIBI,H109,賽馬資訊
MOMENTS IN TIME,H474,賽馬資訊
MR ASCENDENCY,G227,賽馬資訊
HELENE FEELING,H215,賽馬資訊
TELECOM FIGHTERS,D482,賽馬資訊
FLAMING RABBIT,H257,賽馬資訊
YELLOWFIN,G326,賽馬資訊
NATURAL STORM,C461,賽馬資訊
FLOOF,H432,賽馬資訊
LUCKY BANNER,G354,賽馬資訊
FOREVER FOLKS,G463,賽馬資訊
EXCEL WONGCHOY,J194,賽馬資訊
HAKKA RADIANCE,J105,賽馬資訊
BILLIONAIRE SECRET,G303,賽馬資訊
GAMEPLAYER WARRIOR,J178,賽馬資訊
SOLAR GOGO,H390,賽馬資訊
COLOURFUL BARON,G301,賽馬資訊
JOYFUL CHAMPION,G072,賽馬資訊
ASIAN ONE,E400,賽馬資訊
PATCH OF WATCH,H476,賽馬資訊
SUGAR BALL,H394,賽馬資訊
STELLAR SWIFT,J139,賽馬資訊
STORMING DRAGON,J237,賽馬資訊
FUN N FUN TOGETHER,J232,賽馬資訊
RUN RUN TIMING,H403,賽馬資訊
CIRCUIT MAXIMUS,J347,賽馬資訊
GOOD LUCK WIN,J135,賽馬資訊
WINNING TURN,J163,賽馬資訊
GET SET WIN,J287,賽馬資訊
PATCH OF COSMO,J357,賽馬資訊
ETALON OR,J273,賽馬資訊
NORTHERN FIRE BALL,J488,賽馬資訊
ANGELIC,J336,賽馬資訊
RUN YES RUN,J264,賽馬資訊
WORLD HERO,J413,賽馬資訊
SKYEY BLUE,J212,賽馬資訊
SANTORINI,J076,賽馬資訊
CONCORDE STAR,J344,賽馬資訊
CASHISCASH,J369,賽馬資訊
SMART ZIPANG,J165,賽馬資訊
SUPREME WINNER,J255,賽馬資訊
MR GOOD VIBES,H180,賽馬資訊
PANDA,H466,賽馬資訊
HOLY POWER,H039,賽馬資訊
DRAGON AIR FORCE,J279,賽馬資訊
SOLAR UP,J134,賽馬資訊
ALMIGHTY KICK,J254,賽馬資訊
SUPERSONIC,J192,賽馬資訊
SPICY SPANGLE,J087,賽馬資訊
VIGOR ELLEEGANT,J375,賽馬資訊
TURIN STARSPANGLED,J209,賽馬資訊
ILLUMINOUS,J170,賽馬資訊
AWESOME FLUKE,J050,賽馬資訊
FLAGSHIP WARRIOR,G452,賽馬資訊
UNIVERSAL HORIZON,G360,賽馬資訊
FALLON,H219,賽馬資訊
BEAUTY LIVE,G057,賽馬資訊
PACKING HURRICANE,H137,賽馬資訊
TRUE GENIUS,J073,賽馬資訊
BRIGHT INHERITANCE,J215,賽馬資訊
EIGHTEEN CARAT,J104,賽馬資訊
THE GOLDEN SCENERY,E379,賽馬資訊
TAJ DRAGON,H164,賽馬資訊
HEALTHY HAPPY,D435,賽馬資訊
WONDER KIT,G455,賽馬資訊
ALL RICHES,G060,賽馬資訊
STRATHPEFFER,H095,賽馬資訊
BEER PALACE,H361,賽馬資訊
MAJESTIC SPEED,J018,賽馬資訊
SMASHING EXPRESS,J252,賽馬資訊
MIU FA FA,J145,賽馬資訊
FAST AS ROCKET,H375,賽馬資訊
FORTUNE COOKIES,J032,賽馬資訊
WUNDERBAR,H411,賽馬資訊
LUCY IN THE SKY,J275,賽馬資訊
CALIFORNIA TOUCH,J051,賽馬資訊
STORM RIDER,J027,賽馬資訊
PRAWNS ELEVEN,J140,賽馬資訊
COPARTNER PRANCE,H408,賽馬資訊
BUNDLE OF CHARM,G213,賽馬資訊
SING DRAGON,J141,賽馬資訊
SON PAK FU,G265,賽馬資訊
WATCH BUDDY,H185,賽馬資訊
YOUNG CHAMPION,J195,賽馬資訊
FULL CREDIT,J185,賽馬資訊
VICTORY MOMENTS,H142,賽馬資訊
ARTHUR'S KINGDOM,E194,賽馬資訊
FRUITY WARRIOR,J035,賽馬資訊
SPLENDID STAR,G026,賽馬資訊
TURTLE AGAIN,H083,賽馬資訊
WOODFIRE CHAMP,H292,賽馬資訊
DAN ATTACK,H317,賽馬資訊
GALLANT GOODY,H434,賽馬資訊
HERO WARRIOR,J006,賽馬資訊
DENFIELD,G471,賽馬資訊
TALENTS SUPREMO,H133,賽馬資訊
EVER SMART,J179,賽馬資訊
NEBRASKAN,J304,賽馬資訊
EMBRACES,J276,賽馬資訊
DOUBLE BINGO,J309,賽馬資訊
CAN'T GO WONG,H087,賽馬資訊
TURIN WARRIOR,G150,賽馬資訊
NOBLE PURSUIT,H324,賽馬資訊
CHAIN OF GOLD,J138,賽馬資訊
SOLAR PARTNER,E364,賽馬資訊
CALIFORNIA VOCE,H258,賽馬資訊
EIGHTEEN PALMS,H033,賽馬資訊
ROCKET SPADE,G170,賽馬資訊
SUPER UNICORN,H481,賽馬資訊
COURIER MAGIC,H290,賽馬資訊
SURE JOYFUL,G125,賽馬資訊
TRADITION,J111,賽馬資訊
BRAVE WITNESS,H425,賽馬資訊
ON THE LASH,J182,賽馬資訊
SPICY GOLD,H440,賽馬資訊
GLORY CLOUD,H320,賽馬資訊
NEW POWER,H325,賽馬資訊
BEAUTY DESTINY,H281,賽馬資訊
IVICTORIAM,J226,賽馬資訊
MY DAY MY WAY,J519,賽馬資訊
PRIME MORTAR,G328,賽馬資訊
RED ELEGANCE,H241,賽馬資訊
ATOMIC FORCE,G221,賽馬資訊
ALLGREEKTOME,H007,賽馬資訊
HEROIC MASTER,G394,賽馬資訊
ARMOUR EAGLE,G093,賽馬資訊
MIDORI GLORY,J248,賽馬資訊
YOUTHFUL SPIRITS,J082,賽馬資訊
BITS SUPERSTAR,J362,賽馬資訊
O'LINER,H264,賽馬資訊
SPANGLE FORTUNE,G427,賽馬資訊
YEE CHEONG RAIDER,J176,賽馬資訊
MACANESE MASTER,J532,賽馬資訊
WINNING HEART,H065,賽馬資訊
SEA AIR LEGEND,H318,賽馬資訊
BOWSER,H460,賽馬資訊
ACA POWER,E144,賽馬資訊
VALHALLA,E495,賽馬資訊
FLYING DRAGON,E360,賽馬資訊
FOXHUNTER KING,J044,賽馬資訊
CALIFORNIA BANNER,J132,賽馬資訊
FOOLISH HEART,J054,賽馬資訊
LEEDOX,J154,賽馬資訊
DEAL COMPLETED,J378,賽馬資訊
HAPPY DAILY,E294,賽馬資訊
NORTHERN BEAST,H233,賽馬資訊
RUBYLOT,H412,賽馬資訊
BOTTOMUPTOGETHER,J316,賽馬資訊
GREAT STATE,J124,賽馬資訊
GOKO WIN,H069,賽馬資訊
EQUATORIAL,J128,賽馬資訊
WIN SPEED,J205,賽馬資訊
LUCKY TOUCH,J203,賽馬資訊
EVERYONE'S CLASSIC,J407,賽馬資訊
UNIVERSAL BLAZE,J160,賽馬資訊
STRATHBARRY,H413,賽馬資訊
VOYAGE SAMURAI,J026,賽馬資訊
M UNICORN,G466,賽馬資訊
SECOND TO NONE,H319,賽馬資訊
VOLCANIC SPARK,H388,賽馬資訊
WINNING DRAGON,E461,賽馬資訊
FORTUNE SUPERSTAR,J210,賽馬資訊
PRESTIGE ALWAYS,J300,賽馬資訊
LESLIE,E471,賽馬資訊
THRIVING BROTHERS,J396,賽馬資訊
KING MILES,J158,賽馬資訊
SUPER GOLDI,H477,賽馬資訊
PHANTOM CYCLONE,J271,賽馬資訊
GREEN N WHITE,H186,賽馬資訊
FIRE BALL,D087,賽馬資訊
AROMATICA,H437,賽馬資訊
NOBLE WIN,H195,賽馬資訊
ALWAYS AWESOME,H245,賽馬資訊
LINK,J177,賽馬資訊
COMMANDING MISSILE,G210,賽馬資訊
BEAT HOLLOW,G414,賽馬資訊
CHILLI BABA,G339,賽馬資訊
E GLORY,H304,賽馬資訊
MANYTHANKS FOREVER,J065,賽馬資訊
RATTAN WORLD,G384,賽馬資訊
MORE RICE,H271,賽馬資訊
GREAT SPIRIT,J155,賽馬資訊
NEW FUTURE FOLKS,J418,賽馬資訊
TRIUMPHANT WARRIOR,H430,賽馬資訊
ERNEST FEELING,E209,賽馬資訊
BIENVENUE,J490,賽馬資訊
GLUCK RACER,E157,賽馬資訊
CIRCUS REEL,J274,賽馬資訊
ENSHINE,J196,賽馬資訊
PATCH OF TIME,H483,賽馬資訊
CHEERFUL WORLD,H352,賽馬資訊
TOP SCORER,J120,賽馬資訊
HAPPY PARK,J311,賽馬資訊
GOOD PROSPECT,J406,賽馬資訊
SILVER DESTINY,J096,賽馬資訊
THE PRIME,J352,賽馬資訊
NIGHT PUROSANGUE,J510,賽馬資訊
VIEW OF THE WORLD,J348,賽馬資訊
JUMBO FORTUNE,G195,賽馬資訊
SHARPEN BRIGHT,H276,賽馬資訊
JUBILATION,G029,賽馬資訊
INTREPID WINNER,G144,賽馬資訊
THE AZURE,J227,賽馬資訊
SUPER HONG KONG,D241,賽馬資訊
WHIZZ KID,E392,賽馬資訊
CALL ME GLORIOUS,H410,賽馬資訊
INVINCIBLE SAGE,H301,賽馬資訊
NERVOUS WITNESS,E421,賽馬資訊
STOLTZ,G147,賽馬資訊
DROMBEG BANNER,H117,賽馬資訊
PATCH OF THETA,H485,賽馬資訊
DANCING CODE,G365,賽馬資訊
GRACIOUS EXPRESS,J188,賽馬資訊
MOTOMAN,J436,賽馬資訊
HARMONY FIRE,E175,賽馬資訊
EIGHTY LIGHT YEARS,H170,賽馬資訊
WINNING GOLD,H461,賽馬資訊
TOP GUN,J249,賽馬資訊
JOLLY RULER,E346,賽馬資訊
FIND MY LOVE,H110,賽馬資訊
ROMAN CROWN,J456,賽馬資訊
THE WAY WE WIN,J493,賽馬資訊
ARIEL,G223,賽馬資訊
LADY BILLIE,H365,賽馬資訊
TELECOM BULLET,J097,賽馬資訊
PALACE PAL,G172,賽馬資訊
BLISSFUL STAR,E168,賽馬資訊
MASTER TRILLION,J442,賽馬資訊
BRILLIANT FIRE,J441,賽馬資訊
KA YING POWER,H169,賽馬資訊
VICTORYTHIRTYTHREE,J216,賽馬資訊
INVINCIBLE DELIGHT,J372,賽馬資訊
DASH AVENUE,H327,賽馬資訊
GUSTY FIGHTER,J029,賽馬資訊
ACE VICTORY,H076,賽馬資訊
LUCKY EIGHT,G204,賽馬資訊
GOLD MASTER,J389,賽馬資訊
QINGYUAN STAR,J350,賽馬資訊
LORD OF THE ROSE,J297,賽馬資訊
MARKWIN,J420,賽馬資訊
FLYING LUCK,J339,賽馬資訊
DREAM PURSUER,G241,賽馬資訊
GOLDEN SAMURAI,H024,賽馬資訊
DASHING DRAGON,J464,賽馬資訊
PLEASANT ENDEAVOR,E114,賽馬資訊
KING PROFIT,J539,賽馬資訊
STAR GLOW,J429,賽馬資訊
WE ARE HERO,G207,賽馬資訊
SKY TRUST,J161,賽馬資訊
LUCKY FIONN,J047,賽馬資訊
SUPER BEN,J148,賽馬資訊
LADY'S CHOICE,H155,賽馬資訊
MIGHTY STRIDE,G346,賽馬資訊
DIVANO,J142,賽馬資訊
SKY FOREVER,E414,賽馬資訊
RUN RAN RUN,J108,賽馬資訊
KING OF DUBAI,J433,賽馬資訊
HONG KONG HALL,G315,賽馬資訊
SWORD POINT,G448,賽馬資訊
ADEFILL,G317,賽馬資訊
TURIN MASCOT,H165,賽馬資訊
APACHE PASS,D433,賽馬資訊
BERLIN TANGO,E120,賽馬資訊
KA YING GENERATION,J075,賽馬資訊
THE BEST PEACH,H139,賽馬資訊
ALL FOR ST PAUL'S,C517,賽馬資訊
SPEEDY FORTUNE,H097,賽馬資訊
GOOD VIEW GLORY,H154,賽馬資訊
LAPRAS,H374,賽馬資訊
CHARITY GAIN,H431,賽馬資訊
CONFRINGO,J322,賽馬資訊
KIMBERLEY,H329,賽馬資訊
UNITED ENDEAVORS,G030,賽馬資訊
LYRICAL MOTION,G081,賽馬資訊
NEVER PETER OUT,J200,賽馬資訊
GOLDEN RISE,H242,賽馬資訊
